	date	id	link	retweet	text	author
0	2-Oct	7.82694E+17	/KimKardashian/status/782694393216110592	FALSE	Hey guys! Meet my #KimKardashianGame character at the So Chic Boutique in Downtown LA for a surprise ;)pic.twitter.com/7fNjRJyDbT	KimKardashian
1	2-Oct	7.82633E+17	/KimKardashian/status/782632831780618240	FALSE	This guy is always in my shot!pic.twitter.com/7LC6ewaYPO	KimKardashian
2	2-Oct	7.8256E+17	/KimKardashian/status/782559825205071872	FALSE	Balenciaga. No make up today.pic.twitter.com/l2WknhHoiy	KimKardashian
3	1-Oct	7.82261E+17	/KimKardashian/status/782260907900567552	FALSE	Kourtney and Kim Take Parispic.twitter.com/VXw2P2GTvU	KimKardashian
4	1-Oct	7.82259E+17	/KimKardashian/status/782259209459101697	FALSE	GIVENCHY COUTUREpic.twitter.com/jHxTIuHzzo	KimKardashian
5	2-Oct	7.82536E+17	/KimKardashian/status/782535762554290176	FALSE	The Yeezy Show Room in Paris is heaven.	KimKardashian
6	2-Oct	7.82496E+17	/KimKardashian/status/782495814472044544	FALSE	Think I'm gonna wear no make up today to the Balenciaga show.	KimKardashian
7	1-Oct	7.82374E+17	/KimKardashian/status/782373703732592640	FALSE	Just finished the Amanda Knox doc. I don't think they did it. I really want a Natalie Halloway doc & they need to solve that crime. So sad!	KimKardashian
8	1-Oct	7.82163E+17	/KimKardashian/status/782162692882702336	FALSE	Paris Squadpic.twitter.com/AC6BtjEcmT	KimKardashian
9	30-Sep	7.81973E+17	/KimKardashian/status/781973454656507904	FALSE	Came home early from the fashion festivities to watch the Netflix Amanda Knox doc. Cannot wait to see this! Anyone see it yet? Thoughts?	KimKardashian
10	30-Sep	7.81861E+17	/KimKardashian/status/781861302486654976	FALSE	Hair flip & eye roll at the same damn time!pic.twitter.com/3RgYR9Fn2v	KimKardashian
11	29-Sep	7.81587E+17	/KimKardashian/status/781587399331737600	FALSE	Sister Slaypic.twitter.com/Dy8FAt9qmQ	KimKardashian
12	29-Sep	7.81512E+17	/KimKardashian/status/781512464466866176	FALSE	On the way to Balmainpic.twitter.com/veZI9vvLXp	KimKardashian
13	28-Sep	7.81165E+17	/KimKardashian/status/781165302314831872	FALSE	My security @PascalDuvier is a G	KimKardashian
14	27-Sep	7.80944E+17	/KimKardashian/status/780943880300662784	FALSE	NYC  PARISpic.twitter.com/q6gNItIf1t	KimKardashian
15	27-Sep	7.80934E+17	/KimKardashian/status/780934275273285632	FALSE	Currently @Andypic.twitter.com/QVhNFEa4TH	KimKardashian
